ID,Title,Geek_Rating,Avg_Rating,Num_of_Voters,BGP_Price,Price,Year,Complexity,Min_Players,Max_Players,Min_Time,Max_Time,Min_Age,Type1,Type2
102794,Caverna: The Cave Farmers,7.744,7.93,36447,72.77,,2013,3.77,1,7,30,210,12,Strategy,
185343,Anachrony,7.742,8.05,20505,84.65,,2017,4,1,4,30,120,15,Strategy,
170216,Blood Rage,7.735,7.91,50060,79.99,74,2015,2.88,2,4,60,90,14,Strategy,
31260,Agricola,7.733,7.86,75219,51.99,,2007,3.63,1,5,30,150,12,Strategy,
,Age of Innovation,7.733,8.52,7006,,86.99,2023,4.26,1,5,40,200,14,Strategy,
251661,Oathsworn: Into the Deepwood,7.723,8.83,6136,275,349.99,2022,3.69,1,4,30,90,14,Thematic,
161533,Lisboa,7.712,8.18,12203,129.99,119.99,2017,4.57,1,4,60,120,12,Strategy,
255984,Sleeping Gods,7.71,8.13,14517,81.97,82.95,2021,3.25,1,4,60,120,13,Thematic,
12568,Obsession,7.708,8.09,15930,69.99,,2018,3.1,1,4,30,90,14,Strategy,Thematic
182874,Grand Austria Hotel,7.707,7.96,23445,59.99,59.33,2015,3.2,2,4,60,120,12,Strategy,
221107,Pandemic Legacy: Season 2,7.702,8.02,17798,71.99,75.46,2017,3.25,2,4,60,60,14,Strategy,Thematic
,Clank!: Catacombs,7.699,8.25,10388,,66,2022,2.5,2,4,45,90,13,Family,Strategy
205059,Mansions of Madness: Second Edition,7.691,7.93,38871,95.99,87.99,2016,2.7,1,5,120,180,14,Thematic,
126163,Tzolk'in: The Mayan Calendar,7.688,7.85,41249,49.95,58.98,2012,3.66,2,4,90,90,13,Strategy,
2651,Power Grid,7.686,7.8,67967,37.47,41.57,2004,3.25,2,6,120,120,12,Strategy,
,Harmonies,7.679,8.03,19377,,39.99,2024,2,1,4,30,45,10,Family,
,Quacks,7.671,7.81,55626,,86.25,2018,1.94,2,4,45,45,10,Family,
216132,Clans of Caledonia,7.669,7.93,21579,75.92,,2017,3.47,1,4,30,120,12,Strategy,
266810,Paladins of the West Kingdom,7.668,7.96,19519,41.99,52.47,2019,3.72,1,4,90,120,12,Strategy,
35677,Le Havre,7.665,7.84,33069,84,72.99,2008,3.71,1,5,30,150,12,Strategy,
125153,The Gallerist,7.665,8.01,15803,103.99,103.99,2015,4.22,1,4,60,150,13,Strategy,
,Ticket to Ride Legacy: Legends of the West,7.663,8.67,5203,,107.66,2023,2.58,2,5,20,90,10,Family,
276025,Maracaibo,7.66,7.97,17910,54.97,73.69,2019,3.91,1,4,30,120,12,Strategy,
164153,Star Wars: Imperial Assault,7.659,7.96,25449,95.99,109.04,2014,3.3,2,5,60,120,14,Thematic,
124742,Android: Netrunner,7.657,7.89,30906,34.95,,2012,3.41,2,2,45,45,14,Customizable,
200680,Agricola (Revised Edition),7.647,7.95,20001,57.12,55.25,2016,3.44,1,4,30,120,12,Strategy,
,The White Castle,7.645,7.99,17467,,,2023,3.04,1,4,80,80,12,Strategy,
209010,Mechs vs. Minions,7.641,7.96,18002,,,2016,2.45,2,4,60,120,14,Strategy,Thematic
284083,The Crew: The Quest for Planet Nine,7.633,7.77,46014,11.97,15.95,2019,1.96,2,5,20,20,10,Family,
55690,Kingdom Death: Monster,7.63,8.48,10125,656.69,979.98,2015,4.27,1,4,60,180,17,Thematic,
28143,Race for the Galaxy,7.622,7.74,57624,23.99,26.92,2007,2.99,2,4,30,60,12,Strategy,
,Blood on the Clocktower,7.618,8.37,8783,,,2022,3.04,6,21,30,120,15,Party,Strategy
230802,Azul,7.617,7.73,101342,31.99,34.97,2017,1.77,2,4,30,45,8,Abstract,Family
,Great Western Trail: New Zealand,7.616,8.51,5617,,55.19,2023,4,1,4,75,150,12,Strategy,
,Five Tribes: The Djinns of Naqala,7.615,7.77,43876,,,2014,2.84,2,4,40,80,13,Strategy,
,Revive,7.614,8.1,10838,,79.99,2022,3.45,1,4,90,120,14,Strategy,
,Darwin's Journey,7.606,8.12,10367,,58.98,2023,3.91,1,4,60,120,14,Strategy,
201808,Clank!: A Deck-Building Adventure,7.605,7.77,45512,60,74.99,2016,2.23,2,4,30,60,12,Family,Strategy
159675,Fields of Arle,7.602,8.03,11893,59.99,83.97,2014,3.85,1,2,60,120,13,Strategy,
,Wingspan Asia,7.601,8.24,8562,,45,2022,2.67,1,2,40,70,10,Family,Strategy
,Eclipse: New Dawn for the Galaxy,7.599,7.82,28829,,,2011,3.71,2,6,60,180,14,Strategy,
191189,Aeon's End,7.593,7.88,22803,43.99,51.17,2016,2.81,1,4,60,60,14,Strategy,
93,El Grande,7.588,7.77,31532,43.99,49.99,1995,2.94,2,5,60,120,12,Strategy,
110327,Lords of Waterdeep,7.587,7.73,57927,28.26,,2012,2.45,2,5,60,120,12,Strategy,
291453,SCOUT,7.585,7.81,23532,16.97,21.95,2019,1.38,2,5,20,20,9,Family,
229853,Teotihuacan: City of Gods,7.578,7.85,21308,44.97,56.97,2018,3.77,1,4,90,120,14,Strategy,
256916,Concordia Venus,7.574,8.26,6976,67.99,69.24,2018,3.01,2,6,60,120,12,Strategy,
317985,Beyond the Sun,7.571,7.88,16562,60.99,63.99,2020,3.14,2,4,60,120,14,Strategy,
277659,Final Girl,7.565,8.23,9112,19.99,24.99,2021,2.74,1,1,20,60,14,Thematic,
,Voidfall,7.564,8.54,5575,,120,2023,4.59,1,4,90,240,15,Strategy,
25613,Through the Ages: A Story of Civilization,7.563,7.82,19725,49.99,,2006,4.18,2,4,120,120,12,Strategy,
62219,Dominant Species,7.562,7.8,22016,67.99,75.02,2010,4.04,2,6,120,240,14,Strategy,
68448,7 Wonders,7.558,7.67,109604,24.36,46.05,2010,2.32,2,7,30,30,10,Family,Strategy
279537,The Search for Planet X,7.557,7.91,14463,35.97,40.27,2020,2.43,1,4,60,75,13,Strategy,
121921,Robinson Crusoe: Adventures on the Cursed Island,7.556,7.73,45634,45.99,48.95,2012,3.83,1,4,60,120,14,Thematic,
