14089,30021,Wavre: The Lost Opportunity
14090,28817,Blindes Huhn
14091,486,Barnyard Buddies
14092,12280,Geistesblitz
14093,86754,I Signori dei Draghi
14094,2889,Golem
14095,7182,TimeLine
14096,257440,Dungeon Duel
14097,121043,Pass-Ackwords
14098,237311,The Smog Riders: Dimensions of Madness
14099,3643,Spellmaker
14100,196634,Nightmare Forest: Alien Invasion
14101,236713,Sea of Plunder
14102,301541,Latte Throwdown
14103,36431,Time Line
14104,29691,Look Away!
14105,279056,Pompiers!
14106,1000,Corona
14107,26795,Day of the Chariot: Kadesh
14108,282224,Cinephile
14109,2668,Picture Picture
14110,217424,Tenno
14111,10906,Beggars and Thieves
14112,145578,CLUE: The Big Bang Theory
14113,31887,AmuseAmaze
14114,279649,Balk
14115,410,D'raf
14116,21269,Finger Football
14117,177868,Game Election
14118,281257,Aeolis
14119,266769,Jinja
14120,228889,Helios Expanse
14121,284003,Sunflower Valley: A Tile-Laying Game
14122,233284,Bergnein
14123,104558,Burdigala
14124,158267,Double Feature
14125,33958,Rapscallion
14126,9048,Cinq-O
14127,316090,Vivid Memories
14128,12455,Attila: Scourge O'God
14129,7366,Flix
14130,244609,Flick Fleck
14131,25999,Hus
14132,8693,1918: Operation Michel
14133,271027,Agents: Sword and Shield
14134,243080,PlingPong
14135,84230,Pirates 2 ed.: Governor's Daughter
14136,8394,Ludoviel
14137,1875,Isolation
14138,11640,Klabberjass
14139,146157,30 Seconds Junior
14140,113337,Global War 1939
14141,19554,Plext
14142,170423,Comment j'ai adopté un gnou
14143,275738,Knitting: The Card Game
14144,311708,Oracle
14145,266381,ZU Tiles: Hime Starter Set 1
14146,5704,Capt'n Clever
14147,17267,Laserburn: Sci-Fi Combat Rules
14148,198668,Top Hats And Treachery
14149,173121,Pirato Poker
14150,96672,TieBreaker
14151,149885,Te Kuiti
14152,99062,Famous Divisions: Grossdeutschland Panzer
14153,171475,Särge schubsen
14154,109786,Serica: Plains of Dust
14155,42685,Connect 4x4
14156,94456,Color Stix
14157,157995,Noueni
14158,4048,"War of the States: Gettysburg, 1863"
14159,26786,Number Rumba!
14160,186089,Sapotagem
14161,174491,Steam Court
14162,227468,Ancient Artifacts
14163,21437,Agora Barcelona
14164,11060,Normandy: The Invasion of Europe 1944
14165,36790,Pickpocket
