Rank,BGGid,Name,Price
20328,39192,Schwarzer Kater,23.33
20344,23049,Hedbanz for Kids,17.48
20424,25158,Pingo Balance,6.95
20475,3538,Gnome Tribes,25.95
20838,31111,Picture Dominoes,12.99
20892,164,"Before I Kill You, Mister Spy...",10.95
20934,2297,U.S. Patent No. 1,5.19
20948,35652,Log Jam,15
21030,3389,Castle Lords,12.95
21037,184922,Poopyhead,11.99
21073,1855,Hedbanz for Adults!,21.92
21116,170274,Never Have I Ever: The Game of Poor Life Decisions,24.99
21122,43171,Black Stories Junior: White Stories,14.62
21148,10613,Race to the Roof,20.2
21172,16232,Flying Hats,15.07
21264,36611,Monopoly: The Portable Property Trading Game,9.99
21285,128185,Don't Rock the Boat,29.99
21306,27389,Smart Ass,7.04
21326,198961,Yeti in My Spaghetti,11.59
21343,84730,Doggie Doo,23.6
21534,23499,Deal or No Deal,24.22
21683,5432,Chutes and Ladders,41.97
21926,20436,Stonehenge: An Anthology Board Game,8.18
21926,32928,Mü and Lots More,23.95
21926,39103,Jungle Speed: Deluxe,34.21
21926,47410,Catan Dice Game Deluxe Edition,7.82
21926,160669,Town Center (Fourth Edition),51.46
21926,165469,Council of Verona (Second Edition),13.45
21926,211323,Im Wandel der Zeiten: Das Kartenspiel,26.22
21926,251830,Alhambra: Mega Box,232.8
21926,298278,Catan: 25 Jahre Jubiläums-Edition,84.75
21926,307621,K2: Big Box,65.99
21926,315044,The Sherlock Files: Vol II – Curious Capers,18.47
21926,321537,Soviet Dawn: The Russian Civil War 1918-1921 – Deluxe Edition,90.37
