Rank,BGGid,Name,Price
14487,325834,Candy Crush DUEL,40.97
14489,116735,Oil War: Iran Strikes,44.52
14490,29736,Little Italy,16.45
14492,293605,Trekking the National Parks: Trivia,30
14493,155484,Cheesonomics,31.07
14497,160608,Dungeon Bazar,16.43
14500,43802,1940: What If Germany Went East?,38.68
14502,5335,The Horse Soldiers: Forrest at Bay,16.14
14505,84609,ROLLICK!  The Hysterical Game of Clues and Collaboration,17.45
14514,343898,Espresso Doppio,33.99
14517,165889,Safe Breaker,24.99
14519,12963,Succession: Intrigue in the Royal Court,10.45
14527,6022,13: The Colonies in Revolt,24.25
14531,158774,Psychological Warfare,22.24
14532,1346,Crazy Race,16.5
14539,256397,more dude,13.94
14541,114863,Ragami,7.04
14550,162295,Zik,16.31
14551,14468,Blood & Iron: Bismarck's Wars for Empire,28.76
14553,161773,Little Cooperation,27.07
14566,41835,Minotaurus,74.31
14571,80869,MUNERA: Familia Gladiatoria,39.91
14572,32333,Die Wiege der Renaissance,15.14
14575,6982,Mission Command Air,24.45
14576,300146,UNDO: 600 Seconds,14.99
14578,22407,1066: End of the Dark Ages,53.99
14580,126471,Nowhere to Go,20.2
14586,191081,Schnapp den Sack,5.81
14587,283161,Chocobo Party Up!,48.17
14588,275777,Erune,115.54
14593,223597,Dance of the Fireflies,25.09
14597,260709,Yozu,16.82
14602,226085,Sailor Moon Crystal: Dice Challenge,19.97
14603,248722,Daring Contest,32.54
14605,30370,E.T.I.: Estimated Time to Invasion,27.95
14606,209322,Sabbat Magica,46.84
14607,129031,Relic Knights: Darkspace Calamity,36.36
14613,277481,Little Battle,11.04
14615,74203,Dungeon Venture,22.3
14617,205345,Anno Domini: Essen & Trinken,22.39
14620,175739,Pictopia: Disney Edition,24.99
14622,23521,Ringgz,17
14629,1877,Pig Pile,12.95
14638,36413,Pressure Point,12.69
14642,3916,How to Host a Murder: Roman Ruins,22.95
14643,224999,Witching Hour,16.09
14645,293708,Panic in the Air,10.56
14648,14698,Keep Cool,25.6
14654,200888,Med Sirocco,35.06
14666,208419,Titan Dice,18.29
14681,260334,Winston,11.99
14683,301637,Crazy Fishing,15.99
14686,313723,Samoa,11.68
14698,688,Manchu: The Taiping Rebellion – 1852-1868,13.44
14699,140861,Operation: Maccabee,16.95
14701,120770,Day of the Dead,8.89
14711,26080,Im Bann der Pyramide,7.3
14712,165417,Puerto Diablo,23.47
14713,130674,Loos: The Big Push,31.01
14714,240108,Pocket Sub,15.35
14719,230063,Love Formula,19.97
14720,6897,The '45,89.16
14722,98960,Rogue Agent,44.61
14725,28596,GridIron Master,46.85
14728,250284,MONSTArgh!,17.59
14730,218993,Candy Match,7.49
14747,281663,Smile Life,23.36
14754,135327,Kniffel: Das Kartenspiel,8.2
14757,4677,Lee Invades the North,26.95
14759,73238,Crusader: Battle for Tobruk,31.01
14763,286983,Squire: The Collector of the Glorious Rarities,13.23
14773,246203,Magic Mandala,13.97
14777,65243,Invasion Pearl Harbor,37.76
14780,3337,Double Down,9.99
14792,224680,Dungeon Digger,39.99
14793,323882,Dark Story,16.2
14798,276459,Kensington,27.4
14799,39545,"Reconquista! The Struggle for Iberia, 850-1250 AD",40.46
14804,227425,Treachery in a Pocket,11.86
14805,10265,Molotov's War,33.71
14806,330593,Go for Gold,4.63
14808,260033,Concerto,21.13
14813,160773,First to Fight,50.42
14815,255642,Rogers' Rangers: America's First Commandos,20.2
14818,259342,Luxantis,47.56
14819,229703,Adellos,35.12
14834,10386,SiegeStones,12
14837,195158,Project Z: The Zombie Miniatures Game,91.55
14852,301638,Out Of This World,9.99
